Pixels,Value
71.4, 61760
71.5, 61760
71.6, 61760
71.7, 62336
71.8, 62336
71.9, 62336
72, 62336
72.1, 62336
72.2, 62336
72.3, 62336
72.4, 62336
72.5, 62336
72.6, 62336
72.7, 61952
72.8, 61952
72.9, 61952
73, 61952
73.1, 61952
73.2, 61952
73.3, 61952
73.4, 61952
73.5, 61952
73.6, 61952
73.7, 60864
73.8, 60864
73.9, 60864
74, 60864
74.1, 60864
74.2, 60864
74.3, 60864
74.4, 60864
74.5, 60864
74.6, 60864
74.7, 61248
74.8, 61248
74.9, 61248
75, 61248
75.1, 61248
75.2, 61248
75.3, 61248
75.4, 61248
75.5, 61248
75.6, 61248
75.7, 61888
75.8, 61888
75.9, 61888
76, 61888
76.1, 61888
76.2, 61888
76.3, 61888
76.4, 61888
76.5, 61888
76.6, 61888
76.7, 60992
76.8, 60992
76.9, 60992
77, 60992
77.1, 60992
77.2, 60992
77.3, 60992
77.4, 60992
77.5, 60992
77.6, 60992
77.7, 60992
77.8, 60992
77.9, 60992
78, 60992
78.1, 60992
78.2, 60992
78.3, 60992
78.4, 60992
78.5, 60992
78.6, 60992
78.7, 60736
78.8, 60736
78.9, 60736
79, 60736
79.1, 60736
79.2, 60736
79.3, 60736
79.4, 60736
79.5, 60736
79.6, 60736
79.7, 61824
79.8, 61824
79.9, 61824
80, 61824
80.1, 61824
80.2, 61824
80.3, 61824
80.4, 61824
80.5, 61824
80.6, 61824
80.7, 61312
80.8, 61312
80.9, 61312
81, 61312
81.1, 61312
81.2, 61312
81.3, 61312
81.4, 61312
81.5, 61312
81.6, 61312
81.7, 60544
81.8, 60544
81.9, 60544
82, 60544
82.1, 60544
82.2, 60544
82.3, 60544
82.4, 60544
82.5, 60544
82.6, 60544
82.7, 62144
82.8, 62144
82.9, 62144
83, 62144
83.1, 62144
83.2, 62144
83.3, 62144
83.4, 62144
83.5, 62144
83.6, 62144
83.7, 61632
83.8, 61632
83.9, 61632
84, 61632
84.1, 61632
84.2, 61632
84.3, 61632
84.4, 61632
84.5, 61632
84.6, 61632
84.7, 61120
84.8, 61120
84.9, 61120
85, 61120
85.1, 61120
85.2, 61120
85.3, 61120
85.4, 61120
85.5, 61120
85.6, 61120
85.7, 61568
85.8, 61568
85.9, 61568
86, 61568
86.1, 61568
86.2, 61568
86.3, 61568
86.4, 61568
86.5, 61568
86.6, 61568
86.7, 60416
86.8, 60416
86.9, 60416
87, 60416
87.1, 60416
87.2, 60416
87.3, 60416
87.4, 60416
87.5, 60416
87.6, 60416
87.7, 60032
87.8, 60032
87.9, 60032
88, 60032
88.1, 60032
88.2, 60032
88.3, 60032
88.4, 60032
88.5, 60032
88.6, 60032
88.7, 61504
88.8, 61504
88.9, 61504
89, 61504
89.1, 61504
89.2, 61504
89.3, 61504
89.4, 61504
89.5, 61504
89.6, 61504
89.7, 59712
89.8, 59712
89.9, 59712
90, 59712
90.1, 59712
90.2, 59712
90.3, 59712
90.4, 59712
90.5, 59712
90.6, 59712
90.7, 61120
90.8, 61120
90.9, 61120
91, 61120
91.1, 61120
91.2, 61120
91.3, 61120
91.4, 61120
91.5, 61120
91.6, 61120
91.7, 61504
91.8, 61504
91.9, 61504
92, 61504
92.1, 61504
92.2, 61504
92.3, 61504
92.4, 61504
92.5, 61504
92.6, 61504
92.7, 62016
92.8, 62016
92.9, 62016
93, 62016
93.1, 62016
93.2, 62016
93.3, 62016
93.4, 62016
93.5, 62016
93.6, 62016
93.7, 61248
93.8, 61248
93.9, 61248
94, 61248
94.1, 61248
94.2, 61248
94.3, 61248
94.4, 61248
94.5, 61248
94.6, 61248
94.7, 61120
94.8, 61120
94.9, 61120
95, 61120
95.1, 61120
95.2, 61120
95.3, 61120
95.4, 61120
95.5, 61120
95.6, 61120
95.7, 61504
95.8, 61504
95.9, 61504
96, 61504
96.1, 61504
96.2, 61504
96.3, 61504
96.4, 61504
96.5, 61504
96.6, 61504
96.7, 60800
96.8, 60800
96.9, 60800
97, 60800
97.1, 60800
97.2, 60800
97.3, 60800
97.4, 60800
97.5, 60800
97.6, 60800
97.7, 60672
97.8, 60672
97.9, 60672
98, 60672
98.1, 60672
98.2, 60672
98.3, 60672
98.4, 60672
98.5, 60672
98.6, 60672
98.7, 61376
98.8, 61376
98.9, 61376
99, 61376
99.1, 61376
99.2, 61376
99.3, 61376
99.4, 61376
99.5, 61376
99.6, 61376
99.7, 60800
99.8, 60800
99.9, 60800
100, 60800
100.1, 60800
100.2, 60800
100.3, 60800
100.4, 60800
100.5, 60800
100.6, 60800
100.7, 62080
100.8, 62080
100.9, 62080
101, 62080
101.1, 62080
101.2, 62080
101.3, 62080
101.4, 62080
101.5, 62080
101.6, 62080
101.7, 62144
101.8, 62144
101.9, 62144
102, 62144
102.1, 62144
102.2, 62144
102.3, 62144
102.4, 62144
102.5, 62144
102.6, 62144
102.7, 61120
102.8, 61120
102.9, 61120
103, 61120
103.1, 61120
103.2, 61120
103.3, 61120
103.4, 61120
103.5, 61120
103.6, 61120
103.7, 62720
103.8, 62720
103.9, 62720
104, 62720
104.1, 62720
104.2, 62720
104.3, 62720
104.4, 62720
104.5, 62720
104.6, 62720
104.7, 61376
104.8, 61376
104.9, 61376
105, 61376
105.1, 61376
105.2, 61376
105.3, 61376
105.4, 61376
105.5, 61376
105.6, 61376
105.7, 61248
105.8, 61248
105.9, 61248
106, 61248
106.1, 61248
106.2, 61248
106.3, 61248
106.4, 61248
106.5, 61248
106.6, 61248
106.7, 59136
106.8, 59136
106.9, 59136
107, 59136
107.1, 59136
107.2, 59136
107.3, 59136
107.4, 59136
107.5, 59136
107.6, 59136
107.7, 61248
107.8, 61248
107.9, 61248
108, 61248
108.1, 61248
108.2, 61248
108.3, 61248
108.4, 61248
108.5, 61248
108.6, 61248
108.7, 61760
108.8, 61760
108.9, 61760
109, 61760
109.1, 61760
109.2, 61760
109.3, 61760
109.4, 61760
109.5, 61760
109.6, 61760
109.7, 61568
109.8, 61568
109.9, 61568
110, 61568
110.1, 61568
110.2, 61568
110.3, 61568
110.4, 61568
110.5, 61568
110.6, 61568
110.7, 61248
110.8, 61248
110.9, 61248
111, 61248
111.1, 61248
111.2, 61248
111.3, 61248
111.4, 61248
111.5, 61248
111.6, 61248
111.7, 61312
111.8, 61312
111.9, 61312
112, 61312
112.1, 61312
112.2, 61312
112.3, 61312
112.4, 61312
112.5, 61312
112.6, 61312
112.7, 61440
112.8, 61440
112.9, 61440
113, 61440
113.1, 61440
113.2, 61440
113.3, 61440
113.4, 61440
113.5, 61440
113.6, 61440
113.7, 62464
113.8, 62464
113.9, 62464
114, 62464
114.1, 62464
114.2, 62464
114.3, 62464
114.4, 62464
114.5, 62464
114.6, 62464
114.7, 61888
114.8, 61888
114.9, 61888
115, 61888
115.1, 61888
115.2, 61888
115.3, 61888
115.4, 61888
115.5, 61888
115.6, 61888
115.7, 61376
115.8, 61376
115.9, 61376
116, 61376
116.1, 61376
116.2, 61376
116.3, 61376
116.4, 61376
116.5, 61376
116.6, 61376
116.7, 61568
116.8, 61568
116.9, 61568
117, 61568
117.1, 61568
117.2, 61568
117.3, 61568
117.4, 61568
117.5, 61568
117.6, 61568
117.7, 60544
117.8, 60544
117.9, 60544
118, 60544
118.1, 60544
118.2, 60544
118.3, 60544
118.4, 60544
118.5, 60544
118.6, 60544
118.7, 61760
118.8, 61760
118.9, 61760
119, 61760
119.1, 61760
119.2, 61760
119.3, 61760
119.4, 61760
119.5, 61760
119.6, 61760
119.7, 61376
119.8, 61376
119.9, 61376
120, 61376
120.1, 61376
120.2, 61376
120.3, 61376
120.4, 61376
120.5, 61376
120.6, 61376
120.7, 61888
120.8, 61888
120.9, 61888
121, 61888
121.1, 61888
121.2, 61888
121.3, 61888
121.4, 61888
121.5, 61888
121.6, 61888
121.7, 61888
121.8, 61888
121.9, 61888
122, 61888
122.1, 61888
122.2, 61888
122.3, 61888
122.4, 61888
122.5, 61888
122.6, 61888
122.7, 61376
122.8, 61376
122.9, 61376
123, 61376
123.1, 61376
123.2, 61376
123.3, 61376
123.4, 61376
123.5, 61376
123.6, 61376
123.7, 61568
123.8, 61568
123.9, 61568
124, 61568
124.1, 61568
124.2, 61568
124.3, 61568
124.4, 61568
124.5, 61568
124.6, 61568
124.7, 61696
124.8, 61696
124.9, 61696
125, 61696
125.1, 61696
125.2, 61696
125.3, 61696
125.4, 61696
125.5, 61696
125.6, 61696
125.7, 62400
125.8, 62400
125.9, 62400
126, 62400
126.1, 62400
126.2, 62400
126.3, 62400
126.4, 62400
126.5, 62400
126.6, 62400
126.7, 62208
126.8, 62208
126.9, 62208
127, 62208
127.1, 62208
127.2, 62208
127.3, 62208
127.4, 62208
127.5, 62208
127.6, 62208
127.7, 61056
127.8, 61056
127.9, 61056
128, 61056
128.1, 61056
128.2, 61056
128.3, 61056
128.4, 61056
128.5, 61056
128.6, 61056
128.7, 62400
128.8, 62400
128.9, 62400
129, 62400
129.1, 62400
129.2, 62400
129.3, 62400
129.4, 62400
129.5, 62400
129.6, 62400
129.7, 60736
129.8, 60736
129.9, 60736
130, 60736
130.1, 60736
130.2, 60736
130.3, 60736
130.4, 60736
130.5, 60736
130.6, 60736
130.7, 61504
130.8, 61504
130.9, 61504
131, 61504
131.1, 61504
131.2, 61504
131.3, 61504
131.4, 61504
131.5, 61504
131.6, 61504
131.7, 60544
